animal,condition,genotype,bacc,classifier,full_cond,sc_type
14,GluA2,Tg,0.7212623706689385,NN_sc,Tg-GluA2,sc
15,GluA2,Tg,0.772305890931019,NN_sc,Tg-GluA2,sc
16,Veh,Tg,0.7611364583404232,NN_sc,Tg-Veh,sc
17,Veh,WT,0.8454541041538631,NN_sc,WT-Veh,sc
18,GluA2,WT,0.8424344619403196,NN_sc,WT-GluA2,sc
19,GluA2,WT,0.8350168884121005,NN_sc,WT-GluA2,sc
20,Veh,WT,0.7384335571568743,NN_sc,WT-Veh,sc
21,GluA2,WT,0.7348196623733383,NN_sc,WT-GluA2,sc
22,Veh,WT,0.7203991026719418,NN_sc,WT-Veh,sc
23,GluA2,Tg,0.7852433525611388,NN_sc,Tg-GluA2,sc
24,GluA2,Tg,0.7180165210770892,NN_sc,Tg-GluA2,sc
25,GluA2,Tg,0.7520717462934684,NN_sc,Tg-GluA2,sc
26,GluA2,Tg,0.7207596399690853,NN_sc,Tg-GluA2,sc
27,Veh,WT,0.8903325228245156,NN_sc,WT-Veh,sc
28,GluA2,WT,0.7710561346657425,NN_sc,WT-GluA2,sc
29,GluA2,Tg,0.7123496258406745,NN_sc,Tg-GluA2,sc
30,Veh,Tg,0.6732094068141459,NN_sc,Tg-Veh,sc
0,GluA2,WT,0.6341649361823252,LDA_full,WT-GluA2,full
1,Veh,WT,0.684841149978568,LDA_full,WT-Veh,full
2,Veh,WT,0.6995896920144892,LDA_full,WT-Veh,full
3,Veh,Tg,0.6961010282244151,LDA_full,Tg-Veh,full
4,Veh,WT,0.5561274258924167,LDA_full,WT-Veh,full
5,GluA2,WT,0.5036139280428928,LDA_full,WT-GluA2,full
6,GluA2,WT,0.6521579539449627,LDA_full,WT-GluA2,full
7,Veh,Tg,0.5,LDA_full,Tg-Veh,full
8,Veh,Tg,0.7257434418815015,LDA_full,Tg-Veh,full
9,Veh,WT,0.7409368389064261,LDA_full,WT-Veh,full
10,Veh,WT,0.7656641433018111,LDA_full,WT-Veh,full
11,Veh,WT,0.6833330270283515,LDA_full,WT-Veh,full
12,Veh,Tg,0.6148709581621065,LDA_full,Tg-Veh,full
13,Veh,Tg,0.5051346777342673,LDA_full,Tg-Veh,full
14,GluA2,Tg,0.4989753501130824,LDA_full,Tg-GluA2,full
