animal,name,cond,condition,genotype,should_include,bacc,classifier,model
14,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6816265382801967,QDA,full
14,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6409216283602704,gSVM,full
15,LDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6784692938778133,LDA,full
15,NB_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6663655414576258,NB,full
15,NN_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7250421222562551,NN,full
15,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.681207772045511,QDA,full
15,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7110981213014678,gSVM,full
16,LDA_c25_t500,Tg-Veh,Veh,Tg,True,0.6392009534894099,LDA,full
16,NB_c25_t500,Tg-Veh,Veh,Tg,True,0.6500498449294072,NB,full
16,NN_c25_t500,Tg-Veh,Veh,Tg,True,0.6543864521012992,NN,full
16,QDA_c25_t500,Tg-Veh,Veh,Tg,True,0.6666181905632682,QDA,full
16,gSVM_c25_t500,Tg-Veh,Veh,Tg,True,0.6421836934253244,gSVM,full
17,LDA_c25_t500,WT-Veh,Veh,WT,True,0.5597756869032503,LDA,full
17,NB_c25_t500,WT-Veh,Veh,WT,True,0.7589661065724634,NB,full
17,NN_c25_t500,WT-Veh,Veh,WT,True,0.9021438050460724,NN,full
17,QDA_c25_t500,WT-Veh,Veh,WT,True,0.7918576288484661,QDA,full
17,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.901370506365117,gSVM,full
18,LDA_c25_t500,WT-GluA2,GluA2,WT,True,0.5741372939162268,LDA,full
18,NB_c25_t500,WT-GluA2,GluA2,WT,True,0.7387081603528801,NB,full
18,NN_c25_t500,WT-GluA2,GluA2,WT,True,0.8235818136023433,NN,full
18,QDA_c25_t500,WT-GluA2,GluA2,WT,True,0.7579895663474128,QDA,full
18,gSVM_c25_t500,WT-GluA2,GluA2,WT,True,0.8409314929552082,gSVM,full
19,LDA_c25_t500,WT-GluA2,GluA2,WT,True,0.7015375801179273,LDA,full
19,NB_c25_t500,WT-GluA2,GluA2,WT,True,0.6944036971824142,NB,full
19,NN_c25_t500,WT-GluA2,GluA2,WT,True,0.7079574932854472,NN,full
19,QDA_c25_t500,WT-GluA2,GluA2,WT,True,0.6942685898856096,QDA,full
19,gSVM_c25_t500,WT-GluA2,GluA2,WT,True,0.6961224050342627,gSVM,full
20,LDA_c25_t500,WT-Veh,Veh,WT,True,0.6432076973870364,LDA,full
